"year","ASL","X1","X2","Regione","Macro_Area"
"2018","AZIENDA ULSS N 2 MARCA TREVIGIANA",-0.666832024173024,-4.07196049513226,"Veneto","North-East"
"2018","AZIENDA ULSS N 3 SERENISSIMA",-1.87915707632365,-3.61397055737179,"Veneto","North-East"
"2018","AZIENDA ULSS N 4 VENETO ORIENTALE",0.820840342935881,-4.68449155237358,"Veneto","North-East"
"2018","AZIENDA ULSS N 5 POLESANA",-2.65569868915052,-2.0380094390807,"Veneto","North-East"
"2018","AZIENDA ULSS N 6 EUGANEA",-1.27113360288537,-3.34927752447378,"Veneto","North-East"
"2018","AZIENDA ULSS N 7 PEDEMONTANA",-1.24769383000229,-3.27045924052442,"Veneto","North-East"
"2018","AZIENDA ULSS N 8 BERICA",-0.811352571706171,-3.19486568253173,"Veneto","North-East"
"2018","AZIENDA ULSS N 9 SCALIGERA",-1.3643000371834,-2.41606615231613,"Veneto","North-East"
"2018","AZIENDA USL BOLOGNA",-1.83476422278541,-0.778698610128234,"Emilia-Romagna","North-East"
"2018","AZIENDA USL DELLA ROMAGNA",-1.92534977240338,-0.56150508561917,"Emilia-Romagna","North-East"
"2018","AZIENDA USL FERRARA",-2.73362793861493,-2.09297931876106,"Emilia-Romagna","North-East"
"2018","AZIENDA USL IMOLA",-1.4079799677036,-0.538626440883549,"Emilia-Romagna","North-East"
"2018","AZIENDA USL MODENA",-0.718737676746101,-1.77146228774541,"Emilia-Romagna","North-East"
"2018","AZIENDA USL PARMA",-0.184273641326735,-1.96956824166305,"Emilia-Romagna","North-East"
"2018","AZIENDA USL PIACENZA",0.785173875017465,-1.2574969548791,"Emilia-Romagna","North-East"
"2018","AZIENDA USL REGGIO EMILIA",-0.4928835514362,-1.95756391250257,"Emilia-Romagna","North-East"
"2018","AZIENDA USL TOSCANA CENTRO",-1.62392673320639,0.399554340774033,"Toscana","Centre"
"2018","AZIENDA USL TOSCANA NORD OVEST",-1.12243470471564,0.497261714162727,"Toscana","Centre"
"2018","AZIENDA USL TOSCANA SUD EST",-2.39444263287544,0.65926169322918,"Toscana","Centre"
"2018","AZIENDA USL VALLE D'AOSTA",2.84710188314943,-0.42410236194625,"Valle d'Aosta","North-West"
"2018","BI",3.07624013894789,-1.83083623180016,"Piemonte","North-West"
"2018","CHIAVARESE",0.876712936454373,0.781609322117346,"Liguria","North-West"
"2018","CN1",3.63702868975928,0.549234336496872,"Piemonte","North-West"
"2018","CN2",3.41854637188481,0.451494259149831,"Piemonte","North-West"
"2018","FROSINONE",-1.56665894781857,2.0171719630004,"Lazio","Centre"
"2018","GENOVESE",1.47087009493515,0.449148978452431,"Liguria","North-West"
"2018","IMPERIESE",1.20022164214166,1.23584844035752,"Liguria","North-West"
